                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8138,                 4.5152,                 1.7022,                0.02917,                0.03796,                 0.0336,                0.02585,                   1.45,                 4.1683,                 1.3114,             0.00014202,             0.00014202,             0.00014202
                      2,                 1.6432,                 4.0985,                 1.4623,                 0.0242,                0.38167,                0.08818,                0.05483,                 1.5763,                 3.9338,                 1.4282,             0.00028644,             0.00028644,             0.00028644
                      3,                 1.6105,                 3.6137,                 1.4232,                0.28129,                0.12933,                0.11195,                0.07309,                 1.6134,                 3.5647,                 1.4564,             0.00042794,             0.00042794,             0.00042794
                      4,                 1.6477,                 3.2099,                 1.4277,                0.16999,                 0.2104,                0.13007,                0.07143,                 1.7262,                 3.5138,                 1.5791,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.6593,                 2.7778,                 1.4656,                0.42692,                0.20152,                0.20172,                0.10838,                 1.6661,                 2.8025,                  1.479,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.6063,                  2.416,                 1.4611,                 0.6329,                0.24368,                0.25407,                0.13482,                 1.6421,                 3.4441,                 1.4827,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.5419,                 2.2613,                 1.4216,                0.32656,                0.47164,                0.33415,                0.17912,                 1.6188,                 2.5063,                 1.5454,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.5902,                 2.0363,                 1.4717,                 0.3577,                0.50884,                0.38874,                0.20032,                 1.6772,                 2.3534,                 1.5863,             0.00048955,             0.00048955,             0.00048955
                      9,                  1.578,                 1.9715,                  1.462,                0.55033,                0.32341,                0.40867,                0.22049,                 1.5952,                 2.3157,                 1.5089,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.5451,                 1.8446,                 1.4449,                0.47103,                0.47793,                0.46518,                0.27613,                 1.5337,                 2.0238,                 1.4691,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.5207,                 1.7951,                 1.4341,                0.58539,                0.33377,                0.39709,                0.21643,                 1.6094,                 2.0685,                 1.5127,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.4671,                 1.6262,                 1.4019,                 0.4912,                0.42972,                0.44095,                0.25239,                 1.5744,                 2.1927,                 1.4724,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.4448,                  1.591,                 1.3899,                0.56974,                0.53433,                0.52491,                0.29389,                 1.5808,                 2.0636,                 1.5312,             0.00046351,             0.00046351,             0.00046351
                     14,                 1.4396,                 1.5991,                 1.3848,                0.47078,                0.51616,                0.53614,                0.28505,                 1.5579,                 2.0529,                 1.5032,              0.0004583,              0.0004583,              0.0004583
                     15,                 1.4554,                 1.5271,                 1.3927,                 0.4877,                0.49267,                0.53102,                0.31985,                 1.5375,                 1.8857,                 1.4985,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.4224,                 1.4593,                 1.3773,                0.82866,                0.41545,                0.55272,                0.32997,                 1.4967,                 1.7895,                  1.463,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.3843,                 1.4258,                 1.3492,                0.59532,                0.51086,                0.58242,                0.33768,                 1.5392,                 1.8083,                 1.4869,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.3749,                 1.4002,                 1.3338,                0.55012,                0.60347,                0.60748,                0.36868,                 1.5247,                   1.79,                 1.5009,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.3832,                 1.3694,                 1.3647,                0.64208,                0.53039,                0.59675,                0.34519,                 1.5307,                 1.7169,                 1.4924,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.4011,                 1.3973,                 1.3638,                0.56042,                 0.5707,                0.60051,                0.35054,                  1.578,                 1.7721,                  1.503,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.3632,                 1.3261,                 1.3192,                0.67129,                0.52524,                0.61619,                0.36726,                 1.4814,                  1.692,                 1.4403,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.3592,                 1.3021,                 1.3391,                 0.6319,                0.56875,                 0.5948,                0.35538,                  1.526,                 1.7971,                 1.4825,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.3332,                 1.2632,                 1.3064,                0.64741,                0.55769,                0.60096,                0.33993,                 1.5473,                 1.8634,                 1.4845,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.3225,                 1.2715,                 1.3075,                0.72273,                 0.5957,                0.63852,                0.37261,                 1.5257,                  1.698,                 1.4578,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.3117,                 1.2436,                 1.2973,                0.68116,                0.59025,                0.62007,                0.36234,                 1.5572,                 1.7585,                 1.5342,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.3182,                  1.239,                 1.2957,                0.58099,                0.57715,                0.59042,                 0.3421,                 1.5192,                 1.6827,                 1.4911,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.2981,                 1.2359,                 1.2995,                0.59173,                0.56459,                0.63632,                0.37533,                 1.5184,                 1.6779,                 1.4886,             0.00039061,             0.00039061,             0.00039061
                     28,                 1.2831,                 1.1857,                  1.293,                0.64408,                0.60742,                0.65623,                0.37403,                 1.5289,                 1.7477,                 1.4788,              0.0003854,              0.0003854,              0.0003854
                     29,                 1.2969,                 1.1597,                 1.2874,                0.63437,                0.64913,                0.65007,                0.39455,                 1.5017,                 1.6875,                 1.4655,             0.00038019,             0.00038019,             0.00038019
                     30,                 1.2769,                 1.1535,                 1.2692,                0.71535,                 0.6757,                0.66362,                0.38983,                 1.5618,                 1.7155,                 1.5059,             0.00037499,             0.00037499,             0.00037499
                     31,                 1.2794,                 1.1553,                 1.2848,                0.73473,                0.60976,                0.68724,                 0.3899,                 1.5573,                  1.539,                 1.4725,             0.00036978,             0.00036978,             0.00036978
                     32,                 1.2773,                  1.132,                 1.2991,                0.68423,                0.61755,                0.67683,                0.38305,                 1.4768,                  1.644,                 1.4235,             0.00036457,             0.00036457,             0.00036457
                     33,                 1.2485,                 1.1229,                  1.261,                0.61044,                0.64036,                0.66086,                0.38518,                 1.4571,                 1.6407,                 1.4262,             0.00035936,             0.00035936,             0.00035936
                     34,                 1.2544,                 1.1036,                 1.2626,                0.76046,                0.60999,                0.67707,                0.40289,                 1.5136,                 1.6405,                 1.4691,             0.00035416,             0.00035416,             0.00035416
                     35,                  1.244,                 1.1099,                 1.2536,                0.79236,                0.61353,                0.68809,                0.40572,                 1.5374,                 1.5689,                 1.4759,             0.00034895,             0.00034895,             0.00034895
                     36,                 1.2362,                 1.0773,                   1.26,                0.73307,                0.60049,                0.67822,                0.41805,                 1.5143,                 1.6058,                 1.4612,             0.00034374,             0.00034374,             0.00034374
                     37,                 1.2373,                 1.1019,                 1.2573,                0.65691,                 0.6182,                0.69155,                0.43225,                 1.5006,                 1.4768,                 1.4504,             0.00033853,             0.00033853,             0.00033853
                     38,                 1.2182,                  1.035,                 1.2425,                0.68621,                0.66035,                0.69084,                0.40084,                 1.5646,                 1.5142,                 1.4912,             0.00033333,             0.00033333,             0.00033333
                     39,                 1.2242,                  1.103,                 1.2617,                0.78353,                 0.5563,                0.66562,                0.40951,                 1.5501,                 1.6118,                 1.5015,             0.00032812,             0.00032812,             0.00032812
                     40,                 1.2412,                 1.0522,                 1.2476,                0.74747,                0.60955,                0.65902,                0.40572,                 1.5273,                 1.6372,                 1.4762,             0.00032291,             0.00032291,             0.00032291
                     41,                 1.1914,                 1.0414,                 1.2317,                0.71584,                0.63905,                0.66047,                 0.3886,                 1.5542,                 1.6448,                 1.5021,              0.0003177,              0.0003177,              0.0003177
                     42,                 1.2054,                 1.0032,                 1.2343,                0.73229,                0.60451,                0.65287,                0.38676,                 1.5306,                 1.6153,                 1.4615,              0.0003125,              0.0003125,              0.0003125
                     43,                 1.1799,                 1.0207,                 1.2201,                0.75001,                0.63002,                0.68534,                0.40419,                 1.5025,                 1.5613,                 1.4446,             0.00030729,             0.00030729,             0.00030729
                     44,                 1.1969,                 1.0057,                  1.222,                0.77813,                0.57538,                0.64331,                0.40145,                 1.5217,                 1.6142,                 1.4603,             0.00030208,             0.00030208,             0.00030208
                     45,                   1.18,                  1.003,                 1.2153,                0.68987,                0.66053,                0.65319,                0.39691,                 1.5307,                 1.5548,                 1.5057,             0.00029687,             0.00029687,             0.00029687
                     46,                 1.1813,                 0.9888,                 1.2146,                 0.7305,                0.66352,                0.65896,                0.40601,                 1.4908,                 1.4861,                  1.451,             0.00029167,             0.00029167,             0.00029167
                     47,                 1.1383,                0.98189,                 1.1915,                0.78948,                0.62688,                0.68422,                0.44149,                 1.4966,                 1.4676,                 1.4494,             0.00028646,             0.00028646,             0.00028646
                     48,                 1.1535,                0.98143,                 1.2029,                0.75997,                0.63057,                0.68342,                0.42578,                 1.5447,                 1.5096,                 1.4955,             0.00028125,             0.00028125,             0.00028125
                     49,                 1.1701,                0.98662,                 1.2092,                0.68114,                0.63691,                 0.6772,                0.40796,                 1.5242,                 1.5854,                 1.4857,             0.00027604,             0.00027604,             0.00027604
                     50,                 1.1341,                0.95674,                 1.1935,                0.74579,                 0.6389,                0.67176,                0.42659,                 1.5191,                 1.5443,                 1.4946,             0.00027084,             0.00027084,             0.00027084
                     51,                 1.1447,                0.92448,                 1.1786,                0.68602,                0.64542,                0.65951,                0.39209,                 1.5471,                 1.5041,                  1.508,             0.00026563,             0.00026563,             0.00026563
                     52,                 1.1602,                0.98414,                 1.2123,                0.74961,                0.62375,                0.68275,                0.40619,                  1.531,                 1.5136,                 1.4715,             0.00026042,             0.00026042,             0.00026042
                     53,                 1.1174,                0.93539,                 1.1789,                0.75556,                0.68628,                 0.7012,                0.41916,                 1.5085,                 1.4838,                 1.4879,             0.00025522,             0.00025522,             0.00025522
                     54,                  1.138,                 0.9394,                 1.1971,                0.76128,                0.62999,                0.70904,                0.41015,                 1.5129,                 1.5059,                 1.4513,             0.00025001,             0.00025001,             0.00025001
